author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Junglebook2011	http://www.youtube.com/channel/UCGnB2tAbLa84tsGhzTVpx1A	SMART I am one who used to be  Leary of online courses/school and wondering if they are scams. Knowing what I know now I would have gone the route of a WGU if I had to do my degrees again. I will definitely be passing my knowledge to my kids and hope that they will save money and will head to my wisdom.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugy-kYOl3uzC4akgkgZ4AaABAg	Ugy-kYOl3uzC4akgkgZ4AaABAg	2023-07-10T12:42:56Z	yVEjs_9CyU4
Gloria	http://www.youtube.com/channel/UCyCQWnlfZpPOd222gbcJkiA	SMART  I agree that online courses are extremely helpful.  One of the best ways that helps me determine if it is worth is assessing how far the free content takes me.  When it’s a good course, the free content makes you feel like they’re giving everything away. But I’m always blown away with how much more specialized the information is inside the courses, yours included. (IT Course)	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzGIr6TQKDfTdAP8vt4AaABAg	UgzGIr6TQKDfTdAP8vt4AaABAg	2023-07-12T00:34:16Z	yVEjs_9CyU4
sunstrays	http://www.youtube.com/channel/UCjSp6I5l_jeUgGwoF9t0QDw	SMART When a course has great structure, great value, and mostly good social proof, it's a no-brainer to enroll and reap the benefits if you'll honestly execute the work.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugy-5meb_Q_azZ4d9sV4AaABAg	Ugy-5meb_Q_azZ4d9sV4AaABAg	2023-07-11T03:02:01Z	yVEjs_9CyU4
Collins Success	http://www.youtube.com/channel/UCl57zmZVuqNJhsrACNsLIlw	"SMART I love how Josh combines education with fun giveaways. It's a great way to engage his audience and promote cyber security awareness."""	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxjJ33HBhxspTzi81d4AaABAg	UgxjJ33HBhxspTzi81d4AaABAg	2023-07-11T23:58:42Z	yVEjs_9CyU4
Patrick Kilian	http://www.youtube.com/channel/UCDqxTCHiKczMqISBsWseDKw	SMART While some online courses may be scams, many reputable platforms offer high-quality education. It's essential to conduct thorough research, read reviews, and verify the credibility of the course provider. By being vigilant and making informed choices, you can find legitimate online courses that can enhance your knowledge and skills.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxL_jjiPO2O_GGx3WJ4AaABAg	UgxL_jjiPO2O_GGx3WJ4AaABAg	2023-07-10T19:46:58Z	yVEjs_9CyU4
Bojo	http://www.youtube.com/channel/UCMXCTBJjI6mnkCh5jsIudSQ	WITH  I also agree with you that you have to be smart about how you spend your money  ￼	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxBow4dnjEjg8VQgDV4AaABAg	UgxBow4dnjEjg8VQgDV4AaABAg	2023-07-10T17:36:11Z	yVEjs_9CyU4
Hannah Molly	http://www.youtube.com/channel/UC2MkGuH3xnI8_KQd-iCK2ew	SMART Love your channel's cybersecurity focus! Participating in the giveaway to show support for your valuable content.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugz83XmSKRepJRPCC8l4AaABAg	Ugz83XmSKRepJRPCC8l4AaABAg	2023-07-10T20:38:00Z	yVEjs_9CyU4
Laura Precious	http://www.youtube.com/channel/UCCEOnojDAL6kA6KdVYluFlg	"SMART appreciate how Josh makes cyber security topics accessible and easy to understand. Keep up the excellent work, and thank you for the giveaway!"""	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzyzGbMUoyEA_ONYnZ4AaABAg	UgzyzGbMUoyEA_ONYnZ4AaABAg	2023-07-12T00:04:44Z	yVEjs_9CyU4
3m11r	http://www.youtube.com/channel/UCn_0SKRxcZRRqDYlJgYiRbw	SMART Colleges and Universities really need to upgrade their syllabus, teaching methods, evaluation methods, testing methods and on-campus rules. Otherwise, you spend a bankload of money just to pass an HR. If companies change their hiring criteria and stop relying on degree holders then, you'll see great downfall or massive change in academia. Just speaking for technology related degrees but some points are valid for others as well.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzUESPTYhy_DtAvwUx4AaABAg	UgzUESPTYhy_DtAvwUx4AaABAg	2023-07-10T15:47:04Z	yVEjs_9CyU4
0xrohit	http://www.youtube.com/channel/UCOSKsJ8oVy1FrLJR4Gb7vGw	SMART The course which are to be purchased in my opinion it is based on the syllabus it contains sir	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwwXArKxxpqLvRjTcx4AaABAg	UgwwXArKxxpqLvRjTcx4AaABAg	2023-07-10T08:08:31Z	yVEjs_9CyU4
