author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Azula	http://www.youtube.com/channel/UCgfjAMe5CSI9zDFe4prwewg	COINS I agree with your point on not getting a second bachelor's degree if you already have a strong background. Getting certifications in the same field would be better time spent!	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugxua1Po2-bRRhqnm5x4AaABAg	Ugxua1Po2-bRRhqnm5x4AaABAg	2023-07-10T17:27:22Z	yVEjs_9CyU4
Adolfo Ovalles	http://www.youtube.com/channel/UCY_tTHBeZxxGglej99HUACw	WITH  I think it's pretty dope how students in your course can add experience to their resume. (@11:56) Very important to getting entry level-security jobs.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgydTmVL8R-Mz1_OQZB4AaABAg	UgydTmVL8R-Mz1_OQZB4AaABAg	2023-07-12T02:13:24Z	yVEjs_9CyU4
Testimony	http://www.youtube.com/channel/UCsqNGgzywfF7x0haZHTP5Jw	BE: Thanks for addressing the question of whether online courses are scams. It's important to approach this topic with an open mind and do thorough research before enrolling. Not all online courses are scams, but it's crucial to be cautious and evaluate the credibility of the course provider, instructor qualifications, and reviews from previous students.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugwsh2bjFHSlRWcZRFJ4AaABAg	Ugwsh2bjFHSlRWcZRFJ4AaABAg	2023-07-10T12:22:21Z	yVEjs_9CyU4
fernando romero	http://www.youtube.com/channel/UCDYrO_piL7_uJECq_tnjj4w	WITH  I just wanted to express my gratitude to Josh Madakor for his amazing videos on WGU topics. His content has been a tremendous help in my studies. His teaching style is engaging and easy to follow, and I appreciate how he goes the extra mile to provide valuable insights. His videos have made my WGU journey much smoother. Thank you!	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwPeZThFi_M9jfBrsx4AaABAg	UgwPeZThFi_M9jfBrsx4AaABAg	2023-07-10T18:45:26Z	yVEjs_9CyU4
Fxgroundzero	http://www.youtube.com/channel/UCehuJ-78FrEK41QMWFFBNFQ	WITH Does this means that your course is fully developed in a sort of like A to Z sequence for a total newbie?	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugy61yoLOQXlraDX_lh4AaABAg	Ugy61yoLOQXlraDX_lh4AaABAg	2023-07-11T00:11:51Z	yVEjs_9CyU4
Big Stall	http://www.youtube.com/channel/UC1oMf20lnvn9ecmEHcP-kZw	"WITH -------------------------------------------------- I believe the way you approach tech advice, coaching, and instructing is very practical to on the job experience. It's not theory based. The information is applicable to the actual job. I think that is what sets you apart from other ""Youtube"" professionals. There is a true sense  of direction when you give instructions."	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugw-FCgr_gs271v4Kt54AaABAg	Ugw-FCgr_gs271v4Kt54AaABAg	2023-07-10T15:23:24Z	yVEjs_9CyU4
Tyler James	http://www.youtube.com/channel/UCfyLZlB4bFrlbCJSk47gNpA	COINS Josh, your emphasis on the helpfulness of courses is truly refreshing. As someone who has purchased a course from another YouTuber, Graham Stephan, without gaining much value, I can't express enough how grateful I am for your cybersecurity-focused channel.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgyCuhfJ_20AnnQdO4t4AaABAg	UgyCuhfJ_20AnnQdO4t4AaABAg	2023-07-11T21:57:46Z	yVEjs_9CyU4
sunstrays	http://www.youtube.com/channel/UCjSp6I5l_jeUgGwoF9t0QDw	WITH I agree that investing in yourself to get where you want to go is usually lucrative in this field. Time and effort are much more important than money spent, but ultimately, having a good balance between the two is ideal. That is why WGU was the answer for me.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugx3uXK1k2a_UXbHgGl4AaABAg	Ugx3uXK1k2a_UXbHgGl4AaABAg	2023-07-11T03:09:03Z	yVEjs_9CyU4
Don TV	http://www.youtube.com/channel/UCt-c7nuW1I2I_p9dOa-WCdg	With As someone who has taken a few online courses, I also believe that when you buy a course you have to put in the work to be able to see results. Some courses may not be meant for you which is why a course should have a money-back guarantee.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugw21LC8JQApM8Qoq794AaABAg	Ugw21LC8JQApM8Qoq794AaABAg	2023-07-10T15:14:44Z	yVEjs_9CyU4
Gloria	http://www.youtube.com/channel/UCyCQWnlfZpPOd222gbcJkiA	SMART  I agree that online courses are extremely helpful.  One of the best ways that helps me determine if it is worth is assessing how far the free content takes me.  When it’s a good course, the free content makes you feel like they’re giving everything away. But I’m always blown away with how much more specialized the information is inside the courses, yours included. (IT Course)	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzGIr6TQKDfTdAP8vt4AaABAg	UgzGIr6TQKDfTdAP8vt4AaABAg	2023-07-12T00:34:16Z	yVEjs_9CyU4
Norway Norwalk	http://www.youtube.com/channel/UCAa6_117Rj7wUX6TyoZofzw	YOUR Your channel, Josh, has been a beacon of knowledge and inspiration for me in the realm of cybersecurity. Your courses have played a vital role in my professional development, providing me with the necessary skills and expertise.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugx2fxm5_pm1y4iv0kl4AaABAg	Ugx2fxm5_pm1y4iv0kl4AaABAg	2023-07-11T22:33:44Z	yVEjs_9CyU4
Queen Grace	http://www.youtube.com/channel/UCDTZc83S3AxN_qhdK4y7log	WITH I am immensely grateful, Josh, for the outstanding cyber security courses you provide. Your enlightening videos are a testament to your profound expertise and genuine commitment to educating others.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgyQO4SWvuRS7I9Mbot4AaABAg	UgyQO4SWvuRS7I9Mbot4AaABAg	2023-07-11T23:03:09Z	yVEjs_9CyU4
Ali dhere	http://www.youtube.com/channel/UCWW_lSl0zGOFsLuUlfKgzcg	'with' I also agree dual Bach  can take time and energy	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgyWyxhsVfsXIRc1adZ4AaABAg	UgyWyxhsVfsXIRc1adZ4AaABAg	2023-07-10T12:29:59Z	yVEjs_9CyU4
Frank Noneofya	http://www.youtube.com/channel/UCkUTFrBUcT0PIBbkrl2FNsw	I'm one of the stingiest people in this world when it comes to buying knowledge. Mostly because I have taken sources where I don't value or might already know what has been taught. Happened with the first course at college into Cybersecurity. That cost me 1200 and then just dropped out of the course because it was useless. I brought your course because it was something that I would learn and I knew who would be teaching it, since I was already investing content you share for free and determined that it was well worth spending the money on someone who's already given me so much knowledge for free. That's my 2 cents...	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwAibYAr5H4ziSx_YR4AaABAg	UgwAibYAr5H4ziSx_YR4AaABAg	2023-07-10T11:24:32Z	yVEjs_9CyU4
Collins Success	http://www.youtube.com/channel/UCl57zmZVuqNJhsrACNsLIlw	"SMART I love how Josh combines education with fun giveaways. It's a great way to engage his audience and promote cyber security awareness."""	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxjJ33HBhxspTzi81d4AaABAg	UgxjJ33HBhxspTzi81d4AaABAg	2023-07-11T23:58:42Z	yVEjs_9CyU4
Abhishek Pawar	http://www.youtube.com/channel/UCwS3kGCDgWyNCp4Si584aTQ	COINS I disagree with one of points where u said cybersecurity courses waste time, it is actually but there is no place where u get organised content that University degrees are providing. If we start to learn self learning it would require much more time than it actually takes in university.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=Ugz4GjpFlG6SQ7ybw4J4AaABAg	Ugz4GjpFlG6SQ7ybw4J4AaABAg	2023-07-11T03:39:47Z	yVEjs_9CyU4
StopTheCap	http://www.youtube.com/channel/UCT2OQmLwOJ1mnu8eTQQTVsw	BE I'm assuming this is like your last giveaway. I don't think they're scams however, there is a lot of free content out there so purchasing a course should only be done if there's an added incentive that you wouldn't find with free content.  As I've said in the previous  giveaway, I'd rather have access to the course than money.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgyUDUVWrlQZvTYQ82V4AaABAg	UgyUDUVWrlQZvTYQ82V4AaABAg	2023-07-10T15:57:12Z	yVEjs_9CyU4
Zion	http://www.youtube.com/channel/UCidTzlPNp6kR6IKZWLQSlcg	WITH CONGRATULATIONS on reaching 108k+ subscribers 🎉🎉 This is well deserved by you. Keep up the good work brother	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgyJr0u3i7Gscci079J4AaABAg	UgyJr0u3i7Gscci079J4AaABAg	2023-07-11T15:11:19Z	yVEjs_9CyU4
Aapje	http://www.youtube.com/channel/UCnO9MPfmW3mdR-Obm3AN7ww	BE I think that you need to balance formal education where the piece of paper has value with courses that improve yourself, but don't 'count' when it comes down to job applications.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzYdHrIpK1DTHC6XRJ4AaABAg	UgzYdHrIpK1DTHC6XRJ4AaABAg	2023-07-10T23:27:54Z	yVEjs_9CyU4
kamikazexfury	http://www.youtube.com/channel/UCaUHV4_RR7Q19B7DstSFd6g	WITH  I agree that for this industry it will depend on the individuals values	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgwAtXcIePhn9ikJAzt4AaABAg	UgwAtXcIePhn9ikJAzt4AaABAg	2023-07-10T15:31:31Z	yVEjs_9CyU4
Debbi Trish	http://www.youtube.com/channel/UCklBQO55VcmNUR215eXi3Gw	WITH Your commitment to providing high-quality educational content is evident in the depth and breadth of topics covered. Thank you for being a reliable source of helpful courses and for your continuous support in the cybersecurity community.	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgzHG-Ke8GjRlp3R0vl4AaABAg	UgzHG-Ke8GjRlp3R0vl4AaABAg	2023-07-11T21:30:09Z	yVEjs_9CyU4
Bojo	http://www.youtube.com/channel/UCMXCTBJjI6mnkCh5jsIudSQ	WITH  I also agree with you that you have to be smart about how you spend your money  ￼	https://www.youtube.com/watch?v=yVEjs_9CyU4&lc=UgxBow4dnjEjg8VQgDV4AaABAg	UgxBow4dnjEjg8VQgDV4AaABAg	2023-07-10T17:36:11Z	yVEjs_9CyU4
