author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Trading Algo Matrix	http://www.youtube.com/channel/UCf4mUPkdqItc2VsaYxPIL6Q	ASPECTS  Before expanding your job search to different locations, carefully consider the practical implications and potential challenges of relocating. It's essential to evaluate the impact it will have on your personal and professional life before making such a significant decision.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgxomRHawvnhOUopgz94AaABAg	UgxomRHawvnhOUopgz94AaABAg	2023-07-17T16:30:04Z	jQCqglG5IBQ
0xrohit	http://www.youtube.com/channel/UCOSKsJ8oVy1FrLJR4Gb7vGw	ASPECTS Thank you for your wonderful and useful video sir	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugw_OpmomgBYINYk6494AaABAg	Ugw_OpmomgBYINYk6494AaABAg	2023-07-18T03:30:43Z	jQCqglG5IBQ
Amin1700	http://www.youtube.com/channel/UCYitak0dKdJpvfgABL6oH4w	ASPECTS I also agree with your point on saving a decent amount of savings prior to making the move across to a different state when applying for a new job. It’s always nice to have that peace of mind and having expenses settled before hand when applying to a new job or doing anything that has to do with leaving your home. I have been watching you since you had about 5,000 subs and it’s amazing to see how far you have come. You truly deserve every bit of it and I just wanted to thank you for all the knowledge that you have presented :)	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugx110gSaAeW_z-KctJ4AaABAg	Ugx110gSaAeW_z-KctJ4AaABAg	2023-07-17T16:13:32Z	jQCqglG5IBQ
Gerry Gonzales	http://www.youtube.com/channel/UCFsnymMSRJZgeZ9BE0Ut4Ww	ASPECTS Thank you for another great video Josh.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgzpIsvMIIAmT97pv914AaABAg	UgzpIsvMIIAmT97pv914AaABAg	2023-07-18T03:16:16Z	jQCqglG5IBQ
X	http://www.youtube.com/channel/UC4zTUghxpRa8Bus_Han18Kg	@Josh Madakor  -----------  XMOST  I think a lot of what makes the process of beginning is, at what point am i good enough to apply for the jobs asking for a bachelors with 10 years experience?  XHAVE Or how much money is required to travel to another state or country to live?  ASPECTS I work at walmart while in school and there's nothing in my town i can do with out experience and i have applied so i have to leave my town on the pennies i have in hopes of getting a job?	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgyE20cUuW2VrKfW6Qx4AaABAg	UgyE20cUuW2VrKfW6Qx4AaABAg	2023-07-17T15:13:59Z	jQCqglG5IBQ
K-frame G	http://www.youtube.com/channel/UCDkvvxeLosPphGcGGCUabWg	ASPECTS your videos are so satisfying to watch	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwhG7hjphw34vASdbR4AaABAg	UgwhG7hjphw34vASdbR4AaABAg	2023-07-19T08:10:19Z	jQCqglG5IBQ
Z Saber Stranger	http://www.youtube.com/channel/UC1CvX8bxP2bNlGpBB4phLfA	ASPECTS Honestly i agree with just about everything you said in this video. Once I finish my compsci degree from WGU that is. The different aspects of moving can be tricky but getting experience as soon as possible will get you into that higher paying role faster. That means more money over your lifetime!	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgypxOdRjIoUmOvRYqx4AaABAg	UgypxOdRjIoUmOvRYqx4AaABAg	2023-07-17T21:35:06Z	jQCqglG5IBQ
Crazy Weired Shark	http://www.youtube.com/channel/UC4J5s3QbMbRQMhki_ABxjhQ	ASPECTS Josh, your video is a game-changer. Doing what others won't is crucial for career success. Thanks for the generous $500 giveaway. Your content keeps me motivated and driven. Keep up the great work!	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugz40CWGd4LAvf4trfF4AaABAg	Ugz40CWGd4LAvf4trfF4AaABAg	2023-07-18T08:21:59Z	jQCqglG5IBQ
Adolfo Ovalles	http://www.youtube.com/channel/UCY_tTHBeZxxGglej99HUACw	ASPECTS  (@5:45) I will definitely be using this chart as a way to measure my personal stats! This is very useful. You're the man Josh!	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgzvCKF62JiTri3oZK54AaABAg	UgzvCKF62JiTri3oZK54AaABAg	2023-07-19T01:53:26Z	jQCqglG5IBQ
Alex K	http://www.youtube.com/channel/UCo5-FSVa6T_mEXTjdYmTiiw	ASPECTS Do agree that you need to have some safety net or be ready for a side hustle	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugxp4G-bNUzL3hlfkGh4AaABAg	Ugxp4G-bNUzL3hlfkGh4AaABAg	2023-07-17T17:29:41Z	jQCqglG5IBQ
