author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Health Hero	http://www.youtube.com/channel/UCvQJXAqJcqbdQfuITiGAl5A	IT-JOBS Unconventional tips, Really loved it	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwSBwWI4-l7wXKcxXF4AaABAg	UgwSBwWI4-l7wXKcxXF4AaABAg	2023-07-17T18:32:09Z	jQCqglG5IBQ
Exposing Scammers 🚨🚨	http://www.youtube.com/channel/UC0dS2KG721QwA2jhY_5BlTQ	IT-JOBS Thank you for sharing your insights, experiences, and wisdom with us. You are a true inspiration, and I am grateful for the positive impact you have had on my professional life.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgyMDHyxXjhqkgykOQR4AaABAg	UgyMDHyxXjhqkgykOQR4AaABAg	2023-07-19T06:21:19Z	jQCqglG5IBQ
Smilyface ◉‿◉	http://www.youtube.com/channel/UCvntmxsk6pRgZ2THfylHNwA	IT-JOBS Another outstanding video, Josh. Your channel is a wealth of career wisdom.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwZczLl1atMS3kH6ml4AaABAg	UgwZczLl1atMS3kH6ml4AaABAg	2023-07-18T09:11:30Z	jQCqglG5IBQ
David Liam	http://www.youtube.com/channel/UCgy9LI3jFJtkuqDFOGoAnNw	IT-JOBS Thank you for the wonderful videos!! Hoping to be the lucky winner one!!	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgyKC8D_eFAByhifzAh4AaABAg	UgyKC8D_eFAByhifzAh4AaABAg	2023-07-18T14:45:32Z	jQCqglG5IBQ
Mark Sterling	http://www.youtube.com/channel/UC65PR7zyfs3p0vVzE1Ez6iw	IT-JOBS I want to express my deepest gratitude for the remarkable cyber security courses you offer, Josh. Your videos are a reflection of your profound knowledge and passion for this subject. The knowledge and insights I have gained from your courses have been instrumental in my cyber security journey. Your videos are not only enlightening but also visually captivating and professionally produced. Thank you for creating such extraordinary resources that empower individuals to excel in the realm of cyber security.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgxACEV7oUSTyBNdM494AaABAg	UgxACEV7oUSTyBNdM494AaABAg	2023-07-17T22:56:18Z	jQCqglG5IBQ
Graves Jordan	http://www.youtube.com/channel/UCNSDNHP7vuPC88ELHUHivGg	IT-JOBS Your channel has helped me gain confidence in my professional journey.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgzjExTziQvBRibUTOB4AaABAg	UgzjExTziQvBRibUTOB4AaABAg	2023-07-18T22:21:52Z	jQCqglG5IBQ
Nitesh Bhojwani	http://www.youtube.com/channel/UCkGzxdJqQv-Kv_4p09cFRWA	IT-JOBS  I think the strategy of moving to a location with less competition for tech jobs makes sense, but it may not be feasible for everyone due to personal circumstances.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgxHZ-GpbvAG_v9M8nF4AaABAg	UgxHZ-GpbvAG_v9M8nF4AaABAg	2023-07-18T09:12:33Z	jQCqglG5IBQ
Norway Norwalk	http://www.youtube.com/channel/UCAa6_117Rj7wUX6TyoZofzw	IT-JOBS Josh, your channel is a hidden gem in the career development space. This video on standing out in job applications is exactly what we need. Your expertise and delivery are unmatched.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwMn6qvLcfzrHtztrN4AaABAg	UgwMn6qvLcfzrHtztrN4AaABAg	2023-07-18T08:52:24Z	jQCqglG5IBQ
BananaHead23	http://www.youtube.com/channel/UCcGY-SIiED0_j2q0qDi73Yw	IT-JOBS  I agree that it is important to be flexible about where you work, but I believe that with so many hybrid or remote work jobs being created since the pandemic, it is much easier to not have to move and land a good starter job	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugz6oukNQXwLB0BN8Ul4AaABAg	Ugz6oukNQXwLB0BN8Ul4AaABAg	2023-07-17T16:15:55Z	jQCqglG5IBQ
Delbert Schwarzenegger	http://www.youtube.com/channel/UCqKtcOYwvzpwEsa6vwcYa8w	IT-JOBS Josh, your channel has been an invaluable resource in my career journey. This video on standing out in job applications is exactly what I needed. Your expertise and dedication to helping others succeed are evident. Thank you for equipping us with the knowledge and inspiration to excel.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgxH_DQE9HQp7movVHN4AaABAg	UgxH_DQE9HQp7movVHN4AaABAg	2023-07-18T14:24:17Z	jQCqglG5IBQ
