author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
bender2033	http://www.youtube.com/channel/UCjIltKPLIRT2S9imJLlSUNA	XCYBER Love the videos, would rather get a course voucher than the $$!	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgxmBPTp8h0CBFFZRXt4AaABAg	UgxmBPTp8h0CBFFZRXt4AaABAg	2023-07-17T15:05:48Z	jQCqglG5IBQ
Trading Algo Matrix	http://www.youtube.com/channel/UCf4mUPkdqItc2VsaYxPIL6Q	XCYBER  Establishing a strong local network plays a pivotal role in breaking into the competitive field of cyber security. Focus on building connections and fostering relationships in your immediate community to enhance your chances of success	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwFdFGL5Led-wXucKx4AaABAg	UgwFdFGL5Led-wXucKx4AaABAg	2023-07-17T16:29:56Z	jQCqglG5IBQ
Abdul	http://www.youtube.com/channel/UCO1fM91BK8Y4KJAmzON5elA	XCYBER Apply to many position you fit the requirement and be patient while in search of opportunities.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgziQoPGeKam0Uo88Sh4AaABAg	UgziQoPGeKam0Uo88Sh4AaABAg	2023-07-17T14:24:43Z	jQCqglG5IBQ
Smilyface ◉‿◉	http://www.youtube.com/channel/UCvntmxsk6pRgZ2THfylHNwA	XCYBER Thank you for sharing your knowledge and for inspiring us to reach our full potential.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugy77lml-WMjMjICqOt4AaABAg	Ugy77lml-WMjMjICqOt4AaABAg	2023-07-18T09:11:39Z	jQCqglG5IBQ
Roland Schaapveld	http://www.youtube.com/channel/UCVeeGpnebOYOQcHg_2YgS9g	XCYBER  I WOULD HAVE LOVED USING THIS STRATEGY WHEN I WAS SINGLE, BUT STILL REALLY GOOD ADVICE.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugyb7uAHrlZaPypdJdN4AaABAg	Ugyb7uAHrlZaPypdJdN4AaABAg	2023-07-17T17:16:22Z	jQCqglG5IBQ
Sambhav Jain	http://www.youtube.com/channel/UCNwHxzTDSdGTtfNpFLagC-g	XCYBER  thanks for letting us know about opportunity cost	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgyKnfvL7eMbBGhI_sh4AaABAg	UgyKnfvL7eMbBGhI_sh4AaABAg	2023-07-17T16:10:32Z	jQCqglG5IBQ
Jennifer Houghton	http://www.youtube.com/channel/UCvqa1dsdbm9fCvrWmAkJqWw	XCYBER Your videos have become a trusted source of guidance, motivation, and inspiration.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgyL77IUA_BaXSJFsfN4AaABAg	UgyL77IUA_BaXSJFsfN4AaABAg	2023-07-19T07:10:05Z	jQCqglG5IBQ
Racheal Blossom	http://www.youtube.com/channel/UCLZEq20z0JWlF6rzQ8ubi3g	XCYBER Josh, your channel is a beacon of knowledge in the career development realm. This video on standing out in job applications is a game-changer.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgxXYx9k7CZxl98lij54AaABAg	UgxXYx9k7CZxl98lij54AaABAg	2023-07-18T10:40:17Z	jQCqglG5IBQ
TreaZKenshin	http://www.youtube.com/channel/UC3_tu0OgxgQ9x_HRuMbVIfA	XCYBER  Also, would you recommend someone applying for remote jobs or is this the same issue as a highly populated city ?	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgxdCrElePolfjJ6b154AaABAg	UgxdCrElePolfjJ6b154AaABAg	2023-07-17T16:24:41Z	jQCqglG5IBQ
Curwen Arthurs	http://www.youtube.com/channel/UCqnDa2Vd6QIB0mCyJy_Nq8g	XCYBER So the advice is for onsite jobs but which again I agree makes sense but any advice for remote jobs especially for persons from developing countries outside the US?	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwFtzpX7hn6wBuBg1p4AaABAg	UgwFtzpX7hn6wBuBg1p4AaABAg	2023-07-18T02:05:53Z	jQCqglG5IBQ
Sharon Villa	http://www.youtube.com/channel/UCEYGFfPVAPCuXun-sFobHBg	XCYBER Your dedication to providing high-quality content is commendable.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgyXzG7-skoNQvtOdC54AaABAg	UgyXzG7-skoNQvtOdC54AaABAg	2023-07-18T22:16:44Z	jQCqglG5IBQ
jbjb6000	http://www.youtube.com/channel/UC9WqZ6DcAlaq35EoIj-bR7g	Xcyber Actually this exact situation happened to me. I had to travel to Connecticut for my first job in Cybersecurity. You have to be flexible until you are established.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgyKYD8dFT6DWrEPrXp4AaABAg	UgyKYD8dFT6DWrEPrXp4AaABAg	2023-07-18T00:57:41Z	jQCqglG5IBQ
