author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Smilyface ◉‿◉	http://www.youtube.com/channel/UCvntmxsk6pRgZ2THfylHNwA	XHAVE This video on differentiation provides invaluable insights that can make a real impact in our professional lives. Thank you for your dedication to helping us succeed and for being an incredible source of inspiration.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgxfuFyNdSQi8fxEv5Z4AaABAg	UgxfuFyNdSQi8fxEv5Z4AaABAg	2023-07-18T09:11:20Z	jQCqglG5IBQ
0xkakachi	http://www.youtube.com/channel/UCKpB_UPsYQ3Bty1liU4VtCA	XHAVE I think nowadasys networking is a important skills for job hunting	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugw4OIVTJOI-1V9C0n14AaABAg	Ugw4OIVTJOI-1V9C0n14AaABAg	2023-07-18T03:34:14Z	jQCqglG5IBQ
Langs_Studio	http://www.youtube.com/channel/UCOP5BBnzKH5CE3_jjHay_ww	XHAVE I think in my scenario right now is a bit difficult to just land a job that pays a lot lower than what I currently make now just because of the cost of living. So I am hoping to land something closer to my salary even though it may take a bit longer to land a job.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwplfYbTdjefC86VI94AaABAg	UgwplfYbTdjefC86VI94AaABAg	2023-07-18T05:59:44Z	jQCqglG5IBQ
X	http://www.youtube.com/channel/UC4zTUghxpRa8Bus_Han18Kg	@Josh Madakor  -----------  XMOST  I think a lot of what makes the process of beginning is, at what point am i good enough to apply for the jobs asking for a bachelors with 10 years experience?  XHAVE Or how much money is required to travel to another state or country to live?  ASPECTS I work at walmart while in school and there's nothing in my town i can do with out experience and i have applied so i have to leave my town on the pennies i have in hopes of getting a job?	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgyE20cUuW2VrKfW6Qx4AaABAg	UgyE20cUuW2VrKfW6Qx4AaABAg	2023-07-17T15:13:59Z	jQCqglG5IBQ
Jamil Isa	http://www.youtube.com/channel/UC4OAjJSsLhaMqdlTb1jqJhQ	XHAVE All mentioned tips should be taken into consideration which will increase someone chances of getting that first job.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwH-nDwcfZPO6fAWP14AaABAg	UgwH-nDwcfZPO6fAWP14AaABAg	2023-07-18T03:08:21Z	jQCqglG5IBQ
Tamina	http://www.youtube.com/channel/UCUAzyNMosXR9FUgtb1Oclqg	XHAVE Your unwavering dedication to sharing your expertise and helping others excel is truly admirable.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwKFQb0CWvUXiooH6p4AaABAg	UgwKFQb0CWvUXiooH6p4AaABAg	2023-07-19T07:52:27Z	jQCqglG5IBQ
Ahmad Umar	http://www.youtube.com/channel/UCUZZ-NDPLHk9QQ6O_C122mw	XHAVE I think this are good steps to take.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugzg5igTc_Kl0XVK8B54AaABAg	Ugzg5igTc_Kl0XVK8B54AaABAg	2023-07-18T02:58:51Z	jQCqglG5IBQ
Nelson Osagie	http://www.youtube.com/channel/UCF2OTuBpyDtpe32zKflcAPQ	XHAVE Rightly said Josh the economics is the challenge when planning to move to a different geo location, you've got to have quite a fair some of money in your bank account . ain't easy.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugy0GwDfnvysnTxcYqd4AaABAg	Ugy0GwDfnvysnTxcYqd4AaABAg	2023-07-18T21:35:04Z	jQCqglG5IBQ
David & Hannah Scharven	http://www.youtube.com/channel/UC2b8N6npCBXp89FncDO1Bew	Xhave I liked your perspective, and have seen this work for other friends of mine. One in particular moved to Iowa, before coming back home. I have not had success with this yet, however, but that probably is because most of the postings I look at are government jobs or contracts, and I have 0 professional IT experience. Maybe private sector would be a better approach?	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgzBjESjSQjZx-LGPZ94AaABAg	UgzBjESjSQjZx-LGPZ94AaABAg	2023-07-17T14:00:36Z	jQCqglG5IBQ
Shannon Diederichs	http://www.youtube.com/channel/UCwZVTboDsjumTzD3aaJkVMw	XHAVE I liked how you pointed out the opportunity cost of not geographically expanding your job search! That was a great point and I agree it does put you behind.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugy7iohtfN3olC2mPWB4AaABAg	Ugy7iohtfN3olC2mPWB4AaABAg	2023-07-18T05:59:50Z	jQCqglG5IBQ
Torque	http://www.youtube.com/channel/UCGAlJPM0k2pDOMVL1vA9G5g	Xhave Definitely agree with you. I live in a tech hub and the application pool is incredibly competitive.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwUysjAmLwpTO_GNr94AaABAg	UgwUysjAmLwpTO_GNr94AaABAg	2023-07-18T14:42:12Z	jQCqglG5IBQ
Glory Youda	http://www.youtube.com/channel/UCMdWK1h8SyKGEjKVnedducA	XHAVE Josh, your channel is a hidden gem in the career development space. This video on standing out in job applications is exactly what we need. Your expertise and delivery are unmatched. Thank you for your dedication to helping us succeed and for sharing valuable insights that make a difference.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgyoaG7-PJoTzbdfwjt4AaABAg	UgyoaG7-PJoTzbdfwjt4AaABAg	2023-07-18T10:57:25Z	jQCqglG5IBQ
Florian NSABIYUMVA	http://www.youtube.com/channel/UCPvJnV4kpVjd34OqgiDE52Q	XHAVE  You are right in saying that we should not limit ourselves to geographic location.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgxefVh3b7_WZ24y39h4AaABAg	UgxefVh3b7_WZ24y39h4AaABAg	2023-07-17T15:02:50Z	jQCqglG5IBQ
Rhonda Mcacullay	http://www.youtube.com/channel/UCKHi8xvK4pzglLwihyIW0ng	XHAVE Thank you for providing valuable insights that I can apply in my professional life.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugxox-k3FWZBxZ8Yx894AaABAg	Ugxox-k3FWZBxZ8Yx894AaABAg	2023-07-18T23:02:42Z	jQCqglG5IBQ
Kaivon Webb	http://www.youtube.com/channel/UCv2W9QbkOoBcfDGAM3t58uQ	XHAVE  I agree with you in regards to branching out, making small sacrifices in the interim will benefit people for the rest of their lives, even if it means living in Iowa 😢	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwrdWfPZj3wxDzr5EV4AaABAg	UgwrdWfPZj3wxDzr5EV4AaABAg	2023-07-17T15:06:08Z	jQCqglG5IBQ
Testimony	http://www.youtube.com/channel/UCsqNGgzywfF7x0haZHTP5Jw	XHAVE Thank you for your dedication to helping us succeed and for being an incredible source of inspiration.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=Ugx-W7hJxBsPt8rlWDB4AaABAg	Ugx-W7hJxBsPt8rlWDB4AaABAg	2023-07-18T11:09:47Z	jQCqglG5IBQ
Faris	http://www.youtube.com/channel/UCYEM68jLnfE3DuzsPjGXf7Q	XHAVE  I agree with everything so far, this is pretty much what I did. Found something a little … less developed .. a ticket or two for “random” stops and got a job!	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgwYdi7D-AxQ9WQbc7Z4AaABAg	UgwYdi7D-AxQ9WQbc7Z4AaABAg	2023-07-15T18:26:48Z	jQCqglG5IBQ
Kashif Pooser	http://www.youtube.com/channel/UCPBIBeL4MXQPAZgYPsO4HBQ	XHAVE I agree. You have to put some money aside for any move.	https://www.youtube.com/watch?v=jQCqglG5IBQ&lc=UgxiaZ0u5_qJXFtnOeZ4AaABAg	UgxiaZ0u5_qJXFtnOeZ4AaABAg	2023-07-17T14:40:10Z	jQCqglG5IBQ
