author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Paul Okeyo	http://www.youtube.com/channel/UCLYGVQR-YZqs7dXQf_swavA	800-53 I agree with you because it is often required or preferred by employers when hiring for roles such as security analyst, security engineer, or security specialist. Having this certification on your resume can help you stand out from other candidates and provide a competitive edge in the job market.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgwtQ8yEvH_cJ_TSC0d4AaABAg	UgwtQ8yEvH_cJ_TSC0d4AaABAg	2023-07-04T07:55:57Z	LweW1RypjD4
Anime Leech	http://www.youtube.com/channel/UC8tVxhms1BePKujTzr3TjOg	800-53   I love google certificate more	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgzC3ZiLYW1-VDYpCTl4AaABAg	UgzC3ZiLYW1-VDYpCTl4AaABAg	2023-07-03T23:54:18Z	LweW1RypjD4
abdulrahman sada	http://www.youtube.com/channel/UCsYv91PjOT3l2bFaABZE4ew	800-53  Both certifications might lead to cybersecurity employment options, although specific paths might vary, in my opinion.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyBMsWDBkiOo99DtwN4AaABAg	UgyBMsWDBkiOo99DtwN4AaABAg	2023-07-03T20:21:57Z	LweW1RypjD4
Sean Labboun	http://www.youtube.com/channel/UCMWvp0_9QsTxzjRNuhrBHDg	"800-53			   CompTIA Security+ certification serves as a stepping stone towards more advanced certifications, such as CISSP (Certified Information Systems Security Professional) or CISM (Certified Information Security Manager)."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugwsc15L4rnfU_bXB1J4AaABAg	Ugwsc15L4rnfU_bXB1J4AaABAg	2023-07-05T13:29:30Z	LweW1RypjD4
bagery	http://www.youtube.com/channel/UCoS6i0_VrVDHnJsHp6cctlQ	800-53  I had to make a portfolio from scratch in my web development course. Should the labs fit in seamlessly there or do you think they're a better match for the GitHub format?	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugxaleu7RxN4YwC2e5x4AaABAg	Ugxaleu7RxN4YwC2e5x4AaABAg	2023-07-03T17:50:25Z	LweW1RypjD4
Berjgwin Batney	http://www.youtube.com/channel/UCgXMCzMxz9oD8197NeRb5GQ	"800-53			  Networking and information sharing within the cybersecurity community can help individuals stay updated on emerging threats and industry best practices."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugz8Uy-z4UXKtNF4PXJ4AaABAg	Ugz8Uy-z4UXKtNF4PXJ4AaABAg	2023-07-05T14:14:44Z	LweW1RypjD4
kvac1234	http://www.youtube.com/channel/UCFGAoCuPWedjX7B2I5ad3bA	800-53 Thank you for this! I was doubting if I should take either Google Cybersec course or security+. Now I plan to take both, to have a good foundational knowledge and a well known cert as a starter in cybersec.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugw0AbaCkhQuJRbeQgN4AaABAg	Ugw0AbaCkhQuJRbeQgN4AaABAg	2023-07-03T20:21:58Z	LweW1RypjD4
Daniel W	http://www.youtube.com/channel/UCA5E6hr5xircAtDixG7omrg	"800-53 Great tips Josh and thank you for the wonderful work you are doing to all Cybersecurity ""newbies"""	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugy-BL1cLPVunz46YDV4AaABAg	Ugy-BL1cLPVunz46YDV4AaABAg	2023-07-04T05:38:44Z	LweW1RypjD4
gnomeWars	http://www.youtube.com/channel/UCjg8v_Q2Z3wNnANyMqsCcDQ	800-53 Getting the Google Cyberserity Certificate seems like the better deal you could potentially get it for free if you pre study and get it in the 7-day free trial period or for $49 if finsh it in the frist month.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgwB_CGzx-2B0Zcu0e54AaABAg	UgwB_CGzx-2B0Zcu0e54AaABAg	2023-07-03T15:15:33Z	LweW1RypjD4
JTtopcat	http://www.youtube.com/channel/UCF4ey02ZOGgLJc5GqLoTt6g	800-53 It's unfortunate that CompTIA certs seem to give such little practical knowledge despite being so desired by employers.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugwjj1gQcgQIs6FUIgl4AaABAg	Ugwjj1gQcgQIs6FUIgl4AaABAg	2023-07-03T18:03:48Z	LweW1RypjD4
0xrohit	http://www.youtube.com/channel/UCOSKsJ8oVy1FrLJR4Gb7vGw	800-53 This video helps me a lot especially the stack you made to explain sir..Awesome Video	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgzzAFWB-Ru0yc0F9oh4AaABAg	UgzzAFWB-Ru0yc0F9oh4AaABAg	2023-07-04T04:17:26Z	LweW1RypjD4
Michael Wells	http://www.youtube.com/channel/UC3LM6tec_2Hi9EI-f2yF2Lg	800-53 I have had a hard time when it comes to certifications. I would say I have the equivalent of A+, Security+, Network+, and partially CEH since I read the book over twice. I just hate the requirements that the exams have sometimes whether it is money or having to have specific work experience to be able to apply for the exam.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugzk5aOh0am_-4wWjhx4AaABAg	Ugzk5aOh0am_-4wWjhx4AaABAg	2023-07-03T17:54:31Z	LweW1RypjD4
Evan Redden	http://www.youtube.com/channel/UCJQHNDJ5V6XES4g7fw-B7Fg	800-53  I like your analogy of leveling up skills in a video game to explain attributes and qualities that aspiring IT/cybersecurity workers should possess or improve upon. Been watching you for a year now, you don't miss! Thanks for the great video.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyqxWE3FyQsmILYLCh4AaABAg	UgyqxWE3FyQsmILYLCh4AaABAg	2023-07-03T14:42:56Z	LweW1RypjD4
Tchio Fonkwa	http://www.youtube.com/channel/UCafI9Ec0QbhnPj-JwAy4aiA	800-53 All you said here is wisdom. Recently got sec+ and going through the program made me understand how little I know in the field.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugw-8YWU7UOxZfDXMDd4AaABAg	Ugw-8YWU7UOxZfDXMDd4AaABAg	2023-07-03T15:49:14Z	LweW1RypjD4
