author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Aiman Azha	http://www.youtube.com/channel/UCUzjUXxYqjZw7clcJreDEog	CISO!  Im on the fence on whether i disagree or agree with you. But you have definitely given me a new perspective on certifications. I realized that theres more than just certifications that I need to focus on if i want to break in. Thank you Josh!😊	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyONcTb-GHduk_bjHp4AaABAg	UgyONcTb-GHduk_bjHp4AaABAg	2023-07-03T16:47:09Z	LweW1RypjD4
Elva Widogast	http://www.youtube.com/channel/UCtPZx1e0sawdrI3Xb7FPxFQ	"CISO				   The certification fee and the time required for preparation may not be justifiable when considering the limited career benefits it offers compared to other certifications."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgzBYQeN_pBAhXYdUUl4AaABAg	UgzBYQeN_pBAhXYdUUl4AaABAg	2023-07-05T14:01:10Z	LweW1RypjD4
simonee yellow	http://www.youtube.com/channel/UC3naC16d7MTpA-d0By1uDIA	"CISO				  The certification's focus on theory and concepts may not adequately prepare individuals for the practical challenges and complexities of real-world cybersecurity scenarios."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxpFhSMmvmtRdjsmn94AaABAg	UgxpFhSMmvmtRdjsmn94AaABAg	2023-07-05T13:32:05Z	LweW1RypjD4
Starlah Mutiny	http://www.youtube.com/channel/UChy7NqvR8BJKzZTm1Ok-b6w	CISO  I may switch mt degree to cybersecurity to see how much experience itll add to my stats	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugx_dAyhlDcu-hv8-HB4AaABAg	Ugx_dAyhlDcu-hv8-HB4AaABAg	2023-07-03T16:08:35Z	LweW1RypjD4
Danielle Barnes	http://www.youtube.com/channel/UCnQNxhPjKmtiJHi9ld7T_9w	Ciso I agree that you should know at least a little on the company you are applying for.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgzOKXL7kyCm-5kpeAp4AaABAg	UgzOKXL7kyCm-5kpeAp4AaABAg	2023-07-03T17:46:35Z	LweW1RypjD4
TYMNYTE	http://www.youtube.com/channel/UCz3Uz9a2I0KTgvI_p-pN2ZA	ciso	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugy8R4I1wszBqUxK4sV4AaABAg	Ugy8R4I1wszBqUxK4sV4AaABAg	2023-07-03T17:36:58Z	LweW1RypjD4
Alex Cowling	http://www.youtube.com/channel/UCsnRpgYTQh9W-1KQHvAsP1w	CISO   This feels like a clear and natural rubric for how to self-assess and land the next cybersecurity job:    Consistency  Application Execution  Self Presentation  Communication  Resume Quality  Portfolio Quality  Work Experience  Social Network  Interview Skill  Technical Ability  Certification  Formal Education    Doesn’t have to be the same for everyone, but each person needs to determine which combination of these will work for them. Thanks Josh.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxFu8PTOxmNIdesqu14AaABAg	UgxFu8PTOxmNIdesqu14AaABAg	2023-07-04T16:58:27Z	LweW1RypjD4
okibum92	http://www.youtube.com/channel/UCohHKX14TkCYZNRMZRYizCA	Secret Word: CISO Awesome video, I got the Security+ a few years ago and I'm still in search of my first Tech job.  I've signed up for your course and re-enrolled in College to complete my associates degree, then on to WGU for my Bachelor's.   Thanks for all the knowledge!!  Happy 4th of July!	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgwkQEix_MRJJ9ZdEXR4AaABAg	UgwkQEix_MRJJ9ZdEXR4AaABAg	2023-07-04T06:42:15Z	LweW1RypjD4
Aero 23	http://www.youtube.com/channel/UClT3ipDHPmCjja59AHkASng	CISO You also sold me your program pretty well, i will think on getting it on the near future	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyToejAegnLrWgz-UF4AaABAg	UgyToejAegnLrWgz-UF4AaABAg	2023-07-04T23:29:31Z	LweW1RypjD4
D Foy	http://www.youtube.com/channel/UCy1wguKUtYs7n5pQbuFl5bg	CISO I liked the fact you mentioned that having all the stats in the world does not equate to automatically getting a job if you have zero soft skills for example.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxkwE9LykyQxvTYiLV4AaABAg	UgxkwE9LykyQxvTYiLV4AaABAg	2023-07-03T17:38:02Z	LweW1RypjD4
