author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Richard D	http://www.youtube.com/channel/UC4eoQSTPXAzQCwm-rI4MRQw	PCI I agree, because make I added the security + cert to my resume before I earned it and I got way more call backs but the lack of technical ability was apparent during the interview	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgzWoECPQv_lhOuRWaJ4AaABAg	UgzWoECPQv_lhOuRWaJ4AaABAg	2023-07-03T22:12:22Z	LweW1RypjD4
Keerti Maan	http://www.youtube.com/channel/UCbyWIzlGE08Frci1W8w_dMg	PCI  I agree that only security plus would not get us a job	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugz6Cw-4d5jHzTOR7p94AaABAg	Ugz6Cw-4d5jHzTOR7p94AaABAg	2023-07-03T16:44:17Z	LweW1RypjD4
bell	http://www.youtube.com/channel/UCELAY5TkosULFPLUO-jTWLQ	PCI I like this video and you made some great points, but I think you didn't mention how important formal education is. From my own experience, having a bachelors degree is the only way to get your foot in the door these days. It doesn't guarantee you a job, but is very hard to get a job in Cybersecurity or IT without having a bachelors degree.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugz_bR6HlqziSNOaL2h4AaABAg	Ugz_bR6HlqziSNOaL2h4AaABAg	2023-07-03T15:36:40Z	LweW1RypjD4
Jazeon	http://www.youtube.com/channel/UCfHdtOAAPBOGszuAdKRt7ww	PCI I agree because your experience counts for a lot when working technical jobs, so you have to be able to do the work.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugwqdl02gnxMJGRqo3B4AaABAg	Ugwqdl02gnxMJGRqo3B4AaABAg	2023-07-03T15:30:02Z	LweW1RypjD4
Kaleb	http://www.youtube.com/channel/UCaqyOWZ1vB-6utsmTUZJftA	PCI I agree with the overall message of the video, however I think that you may be overstating the value of the Google security cert a little too much. The description of the Google certification says that it helps you prepare for the CompTIA Security+ exam, so I think that while they are very similar, the CompTIA certs will always hold more value and is a better use of money. I guess it depends on the employer, too. I know some employers are specifically looking for Sec+ and may automatically reject the application if you don't have it.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugzy1TLSgARt2fKrEAB4AaABAg	Ugzy1TLSgARt2fKrEAB4AaABAg	2023-07-03T20:15:01Z	LweW1RypjD4
MK	http://www.youtube.com/channel/UC5lfZatdfq2AO4CFO_VqReA	ICP or PCI lol? I also believe communication and having interview skills are key	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgzGoP-TU9ACimm9cRN4AaABAg	UgzGoP-TU9ACimm9cRN4AaABAg	2023-07-04T02:44:20Z	LweW1RypjD4
Thunderr Strikarrr	http://www.youtube.com/channel/UCLbvPriE7mNvF_bVKhcTWPw	"PCI			  The cybersecurity landscape is constantly evolving, and a single certification like CompTIA Security+ may quickly become outdated and irrelevant"	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyL-3dAmHcmykdpdzh4AaABAg	UgyL-3dAmHcmykdpdzh4AaABAg	2023-07-05T13:32:57Z	LweW1RypjD4
MD	http://www.youtube.com/channel/UCA539ephdSIDqFRIseUtA0Q	PCI   Hey Josh Im about to start WGU in September and I was wondering what Tech degree is best for someone who doesn't really like programming and prefers a tech job that will have limited programming in it. I already have an Associates Degree in Information Technology.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgwaSsn1ZD2qiegmUop4AaABAg	UgwaSsn1ZD2qiegmUop4AaABAg	2023-07-03T14:49:25Z	LweW1RypjD4
Yosef Hadufuns	http://www.youtube.com/channel/UCOdb4-ZfxgfZI9oiwH5a9xw	"PCI			  CompTIA Security+ certification can act as a foundational stepping stone for individuals looking to pursue more specialized areas within cybersecurity, such as ethical hacking or network defense."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxcbYhNBm980N9IE0Z4AaABAg	UgxcbYhNBm980N9IE0Z4AaABAg	2023-07-05T14:20:09Z	LweW1RypjD4
Jennifer F	http://www.youtube.com/channel/UCpw7oszNuBYorbI3me_yn7w	PCI   Specifically, I saw your name tied to creating home labs, and I thought I had subscribed, but I have now.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugw-MzjCNaq5yV0pZdt4AaABAg	Ugw-MzjCNaq5yV0pZdt4AaABAg	2023-07-03T22:40:04Z	LweW1RypjD4
Aliyu Isah	http://www.youtube.com/channel/UCd5BSRp6Rks0TmkwqiFSIew	PCI Many job listings in the cybersecurity industry specify Security+ as a recommended or necessary qualification. When applying for entry-level work in the cybersecurity sector, having Security+ on your résumé can help. All I have to say	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxFEaHeFBCvIZ_hlSl4AaABAg	UgxFEaHeFBCvIZ_hlSl4AaABAg	2023-07-03T21:02:05Z	LweW1RypjD4
dakvitamin	http://www.youtube.com/channel/UCRHvwNNT2_NcjWZzZJ4RBig	PCI I agree with you. Security+ is more recognized by employers and can help with interviews. It shows we have knowledge to do job in tech. Google cert can help with acquiring knowledge, hand on labs. However,  to get a job is not enough.  Just because I know how to use OSINT tools without the proof that I actually knowing stuff?  Best combine it with  -portfolio, homelab, report writing skills etc.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxeG-CA8p5WC32doxp4AaABAg	UgxeG-CA8p5WC32doxp4AaABAg	2023-07-04T10:56:08Z	LweW1RypjD4
Afia Johanna	http://www.youtube.com/channel/UC1Kqhl6gDu7qMq8HVkvJnNg	"PCI			  While certification is valuable, practical experience, continuous learning, and staying up-to-date with the latest industry trends and threats are equally important in the cybersecurity field."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgwtMUvgcvma9zfT3U14AaABAg	UgwtMUvgcvma9zfT3U14AaABAg	2023-07-05T14:08:18Z	LweW1RypjD4
