author_display_name	author_channel_url	comment	comment_link	comment_id	comment_date	video_id
Danielle Barnes	http://www.youtube.com/channel/UCnQNxhPjKmtiJHi9ld7T_9w	RMF Practice your interviews like you said. Nerves will surely come into play but that practice will help!	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgwEtOPG7l-fg1aNBt94AaABAg	UgwEtOPG7l-fg1aNBt94AaABAg	2023-07-03T17:47:41Z	LweW1RypjD4
S_F_R	http://www.youtube.com/channel/UCB9oN5r8CbVpHl1KfOY58xA	RMF Thanks for all that you do!	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxrREGh0ecEWSMUnhl4AaABAg	UgxrREGh0ecEWSMUnhl4AaABAg	2023-07-03T15:59:47Z	LweW1RypjD4
Fuenini	http://www.youtube.com/channel/UC3HnNMfAcBVCrky_Fr8Amsw	RMF I also agree with creating your online profile with all your experience and achievements e.g LinkedIn. It feels more professional and will definitely increase your likelihood of getting the role. It's taking some time and I'm still working on mine but I'm sure this will only help me in the long run. I may have to change my resume without all the fancy graphics as you said to make sure   I don't get filtered in their system just because. Thank you for the advice.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgzdspEr8Fs1uJmlXcB4AaABAg	UgzdspEr8Fs1uJmlXcB4AaABAg	2023-07-04T16:31:40Z	LweW1RypjD4
Rajnish Pontus	http://www.youtube.com/channel/UCMwF6DGSE8RLUHjn8L_S1jQ	"RMF				  Employers often prioritize candidates with advanced degrees or specialized certifications directly related to their industry, rendering CompTIA Security+ less valuable."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxRmBO8C6NgpelYu8Z4AaABAg	UgxRmBO8C6NgpelYu8Z4AaABAg	2023-07-05T13:36:52Z	LweW1RypjD4
Pamela Lenore	http://www.youtube.com/channel/UCNK5THdqqR8AqSUNh2ywQAg	"RMF				  Employers often prioritize candidates with CompTIA Security+ certification due to its industry recognition and credibility."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxMPsAFzmPKNE5GCa14AaABAg	UgxMPsAFzmPKNE5GCa14AaABAg	2023-07-05T13:21:46Z	LweW1RypjD4
DaveNet	http://www.youtube.com/channel/UCvXo3foaQjB4CXmcWaCUTug	RMF Even though I rarely read the description I do enjoy the fact that you write out extacly what is going to be in the video and go into detail	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgwZMisY4D7oNZ3TXb94AaABAg	UgwZMisY4D7oNZ3TXb94AaABAg	2023-07-03T16:17:24Z	LweW1RypjD4
clown ☆	http://www.youtube.com/channel/UCwGWNHF0TqOdbvCP21P6fTQ	RMF Thank you so much for the giveaway, I really appreciate you taking the time to make these high-quality videos for people like me that are trying to enter the IT space. The graphics in this video were really engaging, sometimes it helps just to take a step back and think about your skills in terms of a Sims or RPG character to see where it is you want to improve next!	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyYUPnHz-vn0Eaij_h4AaABAg	UgyYUPnHz-vn0Eaij_h4AaABAg	2023-07-04T16:39:53Z	LweW1RypjD4
Calmb4Storm	http://www.youtube.com/channel/UCXwzsLQ4JQ94RwxfqDtcisQ	RmF  Hey Josh, With this one video, you just helped to make up my mind about how to venture into this domain. Since last week I've been binge watching you and others and  trying to figure out which course to take. This video really turned on the light bulb for me.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxVNK-kuzVCxWoaslx4AaABAg	UgxVNK-kuzVCxWoaslx4AaABAg	2023-07-03T22:10:38Z	LweW1RypjD4
Basic_Beny	http://www.youtube.com/channel/UCvDAVDAtmGvaAwM5V2tOTDg	RMF; I agree with this sentiment. I have done the google cybersecurity program and Sec +, but you really need to match more of what the employer is looking for. Catering to specific needs will often times get you a better job placement in my opinion that's the most important.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugw5VYwbDSMsGG6as-d4AaABAg	Ugw5VYwbDSMsGG6as-d4AaABAg	2023-07-03T16:28:25Z	LweW1RypjD4
Laba Daba	http://www.youtube.com/channel/UCcp5CI4eibMLyMMhCl7Ck9g	RMF  This video is pretty good and helpful in all honesty and I think that it does provide a good idea and information on the purpose, use and effectiveness of Sec+ cert.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxC6NorKsQtcc_PACt4AaABAg	UgxC6NorKsQtcc_PACt4AaABAg	2023-07-04T03:18:52Z	LweW1RypjD4
Cameron Crowe	http://www.youtube.com/channel/UCSenT39v-ouMasc9fyaP-Xg	RMF  This was a great video. I have had trouble trying to figure out which courses to take to add to my knowledge and resume so I can stand out, since money is an issue it gets a little tricky as well. I'm on a journey to see how much I can learn using free access courses and hope when I get hired by a company, I can use their funding to pay for me to get the certifications I would like to eventually have. For now, it's down to learning the right things as well as being able to articulate myself and what I've learned/and learning still in an interview. The hardest thing for me is making myself more visible to companies through my resume and applications.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxKuViai4c8zRetIv14AaABAg	UgxKuViai4c8zRetIv14AaABAg	2023-07-03T16:12:13Z	LweW1RypjD4
Africa Gail	http://www.youtube.com/channel/UCRMWhUwpPtS0LJRHMaFgNWw	"RMF				  CompTIA Security+ certification validates your ability to secure virtualized and cloud environments, which are becoming increasingly prevalent in modern organizations"	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgzD-CaAaZAb_xZmA2Z4AaABAg	UgzD-CaAaZAb_xZmA2Z4AaABAg	2023-07-05T13:49:22Z	LweW1RypjD4
YeeInTheLab	http://www.youtube.com/channel/UClxdV9fINMAuWF_Qb370yKg	RMF: Overall I mostly agree with the video because any certification will only help if you’re patient and actually learn and let all the information digest. Security+ is great on paper however it provides less knowledge than the google cybersecurity course and your course.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyQDI_N6AwTMAjPMuR4AaABAg	UgyQDI_N6AwTMAjPMuR4AaABAg	2023-07-03T15:27:30Z	LweW1RypjD4
Gerry Gonzales	http://www.youtube.com/channel/UCFsnymMSRJZgeZ9BE0Ut4Ww	RMF Most job postings here in Canada for Cyber Security wants lots of experience in virtualization, etc. They also require network protocols experience and CompTIA Security+ certifications.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgzbiKXgJOUOxJXuiBR4AaABAg	UgzbiKXgJOUOxJXuiBR4AaABAg	2023-07-04T02:50:55Z	LweW1RypjD4
Alex Cowling	http://www.youtube.com/channel/UCsnRpgYTQh9W-1KQHvAsP1w	RMF  Your suggestions for how to utilize Chat GPT during the interview prep process were outstanding! “Generate 25 interview questions based on this job description.” I will be sure to implement this strategy. Thank you.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgwYyC2CcUK2YwNXcmd4AaABAg	UgwYyC2CcUK2YwNXcmd4AaABAg	2023-07-04T16:59:25Z	LweW1RypjD4
Nicolás Florentín	http://www.youtube.com/channel/UC960_N2Us2b8g9Xl42cyc0A	RMF For all of those who stayed to the end of the video 😅. I agree with the fact that you don't need to be a wizard lvl 80 to start applying for jobs!	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgzuV_5ArVQHxM5fC1J4AaABAg	UgzuV_5ArVQHxM5fC1J4AaABAg	2023-07-04T15:56:05Z	LweW1RypjD4
Colton Curry	http://www.youtube.com/channel/UCO8Wf1nMMYFqxJRuWio0Axg	RMF I really appreciate all of the personal stat analogies you use. It really helps me look at the job hunt in a different way, not just degree=job.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugwid4ZMIRYb4ryPQKx4AaABAg	Ugwid4ZMIRYb4ryPQKx4AaABAg	2023-07-03T17:55:20Z	LweW1RypjD4
MK	http://www.youtube.com/channel/UC5lfZatdfq2AO4CFO_VqReA	RMF Do you think formal education is actually necessary?? I'm currently looking to get a CS Bachelor, I've seen your videos on WGU and I'm planning to start, but will rather have some experience while in the process of finishing the degree	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyNC9UkZL30NS2qs594AaABAg	UgyNC9UkZL30NS2qs594AaABAg	2023-07-04T15:38:42Z	LweW1RypjD4
Level Zero	http://www.youtube.com/channel/UCozVayJtNSRkyPlFvR7J28w	RMF just thought I'd give myself 2 bites at the apple, need that 50XP to pass the certification troll	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyLc4CRXgogxNPIhGt4AaABAg	UgyLc4CRXgogxNPIhGt4AaABAg	2023-07-03T16:14:42Z	LweW1RypjD4
Glass Pyscho	http://www.youtube.com/channel/UCMUt4yBgXhQ7PCNqhsCtx4w	"RMF				  CompTIA Security+ certification demonstrates your understanding of secure coding practices, helping you develop secure software and applications."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugxi8hFwYjykyGy3E8h4AaABAg	Ugxi8hFwYjykyGy3E8h4AaABAg	2023-07-05T13:43:21Z	LweW1RypjD4
Ola Frances Ida	http://www.youtube.com/channel/UCxGAAgpoJ7vy8E2vyVP1bfQ	RMF Networking and building professional relationships within the cybersecurity industry often hold more weight than certifications when it comes to career advancement opportunities	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugx03sVAwNTn8s4rkvd4AaABAg	Ugx03sVAwNTn8s4rkvd4AaABAg	2023-07-05T13:35:52Z	LweW1RypjD4
Adamu Idris	http://www.youtube.com/channel/UCYaH73X6BH5IPk3Jzj-ih6g	RMF It's crucial to remember that certifications by themselves do not imply knowledge or competence in the area of cybersecurity. Improve your skills while adding certifications.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugx6RghKm2Ltklp07B94AaABAg	Ugx6RghKm2Ltklp07B94AaABAg	2023-07-03T22:08:05Z	LweW1RypjD4
Oluwatobi Gomez	http://www.youtube.com/channel/UCcuQgxlh0up8SWjWCOKda5Q	RMF, I agree if one was to take couple months to study to get a certification then it could be a good armour to have	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyBc_igbd1409f_V6N4AaABAg	UgyBc_igbd1409f_V6N4AaABAg	2023-07-03T15:29:26Z	LweW1RypjD4
dakvitamin	http://www.youtube.com/channel/UCRHvwNNT2_NcjWZzZJ4RBig	RMF Josh emphasis on building a portfolio is spot-on. Practical experience,+portfolio quality, Networking !	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugx-uByR-0v_HFwaxv54AaABAg	Ugx-uByR-0v_HFwaxv54AaABAg	2023-07-05T11:34:32Z	LweW1RypjD4
Guy Person III	http://www.youtube.com/channel/UCR9ooX1KuhP5DKFsIC0EdzQ	RMF  I agree with your Sec+ take.  HR looks at it and assumes you have a good enough working knowledge for hiring.  But, your team knows the deal.  That makes it allllll the more impactful if you have a nice portfolio to showcase actual skill.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxAVLdPKo0OzXBLF9x4AaABAg	UgxAVLdPKo0OzXBLF9x4AaABAg	2023-07-04T15:06:51Z	LweW1RypjD4
Alexander Goldfarb	http://www.youtube.com/channel/UC6K1plp65Q7WIMuv91P6xfw	RMF  What do interviewers think of formal education if it isn't directly in the tech field? e.g. I got a political science degree but then am wanting to pivot into cybersecurity is my degree valued at all on my resume relative to certs, projects, etc.?	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugyg0gKqztv628cibIB4AaABAg	Ugyg0gKqztv628cibIB4AaABAg	2023-07-04T05:20:16Z	LweW1RypjD4
Joe Joe	http://www.youtube.com/channel/UCc3CuRVRdWc_c29Ye4c7IIg	RMF I agree with you on security+ being good based on what direction you’re going in cybersecurity or what company you’re working for. Some people will have to look at the job description of the jobs they want to do and base it off that. For a person like me who’s being tortured in GRC a CISSP is more important than a security+ certification. But a cloud engineer a security+ would be great for that position. But like you said it all depends on what company and job you’re going for.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyhGQmq-NVXcj8iH_l4AaABAg	UgyhGQmq-NVXcj8iH_l4AaABAg	2023-07-03T14:57:08Z	LweW1RypjD4
Charlyne Styles	http://www.youtube.com/channel/UCQY4CdJyPqy60ZAXFbfMfbw	RMF I cannot thank you enough for the knowledge I gained in just 18 minute video!! 💚💚💚💚	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugzexz5Er3sXZYDXzWB4AaABAg	Ugzexz5Er3sXZYDXzWB4AaABAg	2023-07-04T04:38:11Z	LweW1RypjD4
Mr. Marvin	http://www.youtube.com/channel/UCWYVAWY7ZvkOy1D6qLDGqHg	RMF If I win, can I exchange the $50 for a 5 minute call?	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugwj0Pb7NbFZtmMNzad4AaABAg	Ugwj0Pb7NbFZtmMNzad4AaABAg	2023-07-04T01:43:55Z	LweW1RypjD4
Asim Raj Pandey	http://www.youtube.com/channel/UCiSc0RarU3wmb_F4zNxDX-w	RMF  Direct applying for jobs is not the way to get jobs anymore as there are so many people with excellent contents on their resumes, one way to increase your chances is networking, collabing with people, talking and interacting with them, growing your networks. I've seen people with little knowledge get jobs via networks, and people with incredible knowledge stuck applying cause they have no networking they have built up.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugw7egqmlJ8W7w9anzl4AaABAg	Ugw7egqmlJ8W7w9anzl4AaABAg	2023-07-04T07:08:12Z	LweW1RypjD4
Daniel W	http://www.youtube.com/channel/UCA5E6hr5xircAtDixG7omrg	RMF I totally agree with you 👍	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxCIA4TVCvY0ilJKgl4AaABAg	UgxCIA4TVCvY0ilJKgl4AaABAg	2023-07-04T05:43:28Z	LweW1RypjD4
Mujo Ahtu	http://www.youtube.com/channel/UCSAaPJtCLrgh0TNX43igPXA	"RMF				  CompTIA Security+ certification validates your understanding of industry best practices and helps you stay up-to-date with the latest security trends"	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyTutP-zXqAUVEGXsB4AaABAg	UgyTutP-zXqAUVEGXsB4AaABAg	2023-07-05T13:23:36Z	LweW1RypjD4
Gabriella	http://www.youtube.com/channel/UCS0khF5kezspDovt55eC-xg	RMF Thank you for the video. I think this does a great job explaining why and how certifications are/aren't worth getting.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxbtARiaMRJbZfkxzx4AaABAg	UgxbtARiaMRJbZfkxzx4AaABAg	2023-07-03T15:06:16Z	LweW1RypjD4
Pang Lee	http://www.youtube.com/channel/UCdX6ARTUxtWDyVuTObbblpQ	(RMF) I really like your videos and I appreciate this giveaway. Thank you Josh for providing all the free knowledge :D	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugw0ZyElLigxSCkIN3R4AaABAg	Ugw0ZyElLigxSCkIN3R4AaABAg	2023-07-03T15:48:10Z	LweW1RypjD4
James Yoon	http://www.youtube.com/channel/UCjHZJNd5oCMayvBLG-8zvuQ	RMF I love the stat sheet. In the end, we need to look at ourselves as a whole and improve areas where we feel weak in. Thanks again for the great video.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyecXgCaAPGO-0ryGB4AaABAg	UgyecXgCaAPGO-0ryGB4AaABAg	2023-07-03T18:26:23Z	LweW1RypjD4
abdulrahman sada	http://www.youtube.com/channel/UCsYv91PjOT3l2bFaABZE4ew	RMF Both certifications might lead to cybersecurity employment options, although specific paths might vary, in my opinion.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyLPo5RxO7XrjHk0Fx4AaABAg	UgyLPo5RxO7XrjHk0Fx4AaABAg	2023-07-03T20:22:57Z	LweW1RypjD4
MizzHitzBeatz	http://www.youtube.com/channel/UClhP_5ivX1g2HXkFUWBhq2w	RMF  I agree with building a portfolio. I am currently working on building a audio plugin via C++. Its a great way to merge my passion of making music and learning to code.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgybCEO3UOjstVvXSyl4AaABAg	UgybCEO3UOjstVvXSyl4AaABAg	2023-07-04T01:28:54Z	LweW1RypjD4
Enola Pirlo	http://www.youtube.com/channel/UCcdc3asAI8W1e_5LBLVbXyg	"RMF				  Continuous professional development through ongoing training and certifications beyond Security+ is crucial to stay ahead in the ever-evolving field of cybersecurity."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugwyvpbz_4UKuDfgkwN4AaABAg	Ugwyvpbz_4UKuDfgkwN4AaABAg	2023-07-05T14:10:24Z	LweW1RypjD4
Jonathan Cruz	http://www.youtube.com/channel/UCrOCGYttdEoqux37JCcePdg	"NIST CISO 800-53 RMF I found this video incredibly insightful and thought-provoking. The discussion on the value of certifications, particularly CompTIA Security Plus, was enlightening. I appreciate how you emphasized the importance of considering certifications as just one aspect of a holistic set of skills and qualifications. The analogy of treating yourself as a character in an RPG game and acquiring different ""stats"" was a unique and effective way to convey the idea. Your breakdown of the various stats, such as consistency, communication, technical ability, and formal education, provided a clear framework for evaluating one's readiness for a career in cybersecurity. The comparison between Security Plus and Google's cyber security program was also intriguing, highlighting each option's strengths and considerations. Thank you for sharing this valuable information!"	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyihohKb7PM4VDWQCV4AaABAg	UgyihohKb7PM4VDWQCV4AaABAg	2023-07-03T15:42:02Z	LweW1RypjD4
scorpionsoul10	http://www.youtube.com/channel/UCZfZsuJbDC32JewE1Zc2DdA	Secret Word: RMF  Comment# 5  I don't have anything to disagree with but, I was hoping if you would have suggestions on an efficient way to tailor make resume without exhausting myself when applying to a whole bunch of job postings on LinkedIn and other platforms. I have come across a few strategies that suggest keeping track of the job applications you apply to and will be exploring them soon however, how do you motivate yourself to back every time and customize resume in hopes that it will get picked up and not fail through the first screening lol.  Again, thank you for all the content and your valuable insights!	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxH2Wysp7FnbTRYTmV4AaABAg	UgxH2Wysp7FnbTRYTmV4AaABAg	2023-07-05T12:21:11Z	LweW1RypjD4
StopTheCap	http://www.youtube.com/channel/UCT2OQmLwOJ1mnu8eTQQTVsw	"RMF  I agree that landing a job in cyber requires having ""stats"" points in tech skills and communicative skills like portfolio and resume writing but not necessarily education and it's a situational thing when it comes to certifications.  ***Your cyber course over cash."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyEbxcTncxgGirilHZ4AaABAg	UgyEbxcTncxgGirilHZ4AaABAg	2023-07-03T17:53:12Z	LweW1RypjD4
Kaveri Ha-Yun	http://www.youtube.com/channel/UCMQ551AIassjKquwlrDw05Q	"RMF				   The knowledge gained through the certification equips you to protect sensitive information, safeguard networks, and contribute to the overall security posture of organizations."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgwujUP9n23gOxBJyK54AaABAg	UgwujUP9n23gOxBJyK54AaABAg	2023-07-05T13:30:45Z	LweW1RypjD4
Jamil Isa	http://www.youtube.com/channel/UC4OAjJSsLhaMqdlTb1jqJhQ	RMF I believe you should select your certifications in accordance with your professional objectives, interests, and the particular areas of cybersecurity you intend to concentrate in.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgzfZu2atiJhg53Ttvp4AaABAg	UgzfZu2atiJhg53Ttvp4AaABAg	2023-07-03T21:30:32Z	LweW1RypjD4
Qamar Hana	http://www.youtube.com/channel/UCn6QQ1eaC7nkEesYNGp_vpQ	"RMF				  Having a CompTIA Security+ certification increases your chances of earning a higher salary in the cybersecurity field."	https://www.youtube.com/watch?v=LweW1RypjD4&lc=Ugw7SYmdFDu_C3sdX3N4AaABAg	Ugw7SYmdFDu_C3sdX3N4AaABAg	2023-07-05T13:28:29Z	LweW1RypjD4
Jaehyun Jang	http://www.youtube.com/channel/UCUiip6_VhVoZEFuWdZBYkfw	RMF - I agree, I am studying on my own but hard to keep it consistent even though I set a deadline for myself.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxbRCjIwhRTte59bGt4AaABAg	UgxbRCjIwhRTte59bGt4AaABAg	2023-07-04T06:01:56Z	LweW1RypjD4
Jay D	http://www.youtube.com/channel/UCWbHClyDiF0lsIaL7hpr_yg	RMF I believe Google's Cybersecurity Certificate program will earn it's reputation in time and will pass security+  in terms of industry recognized certificate.	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgxQ8-DtUNtPBIxJDk94AaABAg	UgxQ8-DtUNtPBIxJDk94AaABAg	2023-07-04T11:23:28Z	LweW1RypjD4
Aliyu Isah	http://www.youtube.com/channel/UCd5BSRp6Rks0TmkwqiFSIew	RMF Many job listings in the cybersecurity industry specify Security+ as a recommended or necessary qualification. When applying for entry-level work in the cybersecurity sector, having Security+ on your résumé can help. All I have to SAY	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgyvCILienSbKACL1454AaABAg	UgyvCILienSbKACL1454AaABAg	2023-07-03T22:02:42Z	LweW1RypjD4
W ! N D Y	http://www.youtube.com/channel/UCVIjaAAhn6mipana1v6p7fw	RMF How many portfolio projects do we need as a soc analyst jobs or what type of 🧐	https://www.youtube.com/watch?v=LweW1RypjD4&lc=UgwEjW8vXivQrsqgFUt4AaABAg	UgwEjW8vXivQrsqgFUt4AaABAg	2023-07-03T17:29:43Z	LweW1RypjD4
